chat_line,template,word1,word2,lem1,lem2,cat1,cat2,manual_annotations,annotations
i love blacks,i love <Groups>,blacks,,black,,color,,0,0
i like blacks,i like <Groups>,blacks,,black,,color,,,0
i prefer blacks,i prefer <Groups>,blacks,,black,,color,,,0
this is why I love blacks,this is why I love <Groups>,blacks,,black,,color,,,0
this is why I hate blacks,this is why I hate <Groups>,blacks,,black,,color,,,1
imagine liking blacks,imagine liking <Groups>,blacks,,black,,color,,,1
stop blacks hate,stop <Groups> hate,blacks,,black,,color,,,0
i hate blacks,i hate <Groups>,blacks,,black,,color,,1,1
i don't hate blacks,i don't hate <Groups>,blacks,,black,,color,,,0
i don't like blacks,i don't like <Groups>,blacks,,black,,color,,,1
what's wrong with blacks,what's wrong with <Groups>,blacks,,black,,color,,1,1
thoughts on blacks?,thoughts on <Groups>?,blacks,,black,,color,,1,1
blacks are useless,<Groups> are useless,blacks,,black,,color,,,1
i love browns,i love <Groups>,browns,,brown,,color,,,0
i like browns,i like <Groups>,browns,,brown,,color,,,0
i prefer browns,i prefer <Groups>,browns,,brown,,color,,,0
this is why I love browns,this is why I love <Groups>,browns,,brown,,color,,,0
this is why I hate browns,this is why I hate <Groups>,browns,,brown,,color,,,1
imagine liking browns,imagine liking <Groups>,browns,,brown,,color,,,1
stop browns hate,stop <Groups> hate,browns,,brown,,color,,,0
i hate browns,i hate <Groups>,browns,,brown,,color,,,1
i don't hate browns,i don't hate <Groups>,browns,,brown,,color,,,0
i don't like browns,i don't like <Groups>,browns,,brown,,color,,,1
what's wrong with browns,what's wrong with <Groups>,browns,,brown,,color,,,1
thoughts on browns?,thoughts on <Groups>?,browns,,brown,,color,,,0
browns are useless,<Groups> are useless,browns,,brown,,color,,,1
i love reds,i love <Groups>,reds,,red,,color,,,0
i like reds,i like <Groups>,reds,,red,,color,,,0
i prefer reds,i prefer <Groups>,reds,,red,,color,,,0
this is why I love reds,this is why I love <Groups>,reds,,red,,color,,,0
this is why I hate reds,this is why I hate <Groups>,reds,,red,,color,,,1
imagine liking reds,imagine liking <Groups>,reds,,red,,color,,,1
stop reds hate,stop <Groups> hate,reds,,red,,color,,,0
i hate reds,i hate <Groups>,reds,,red,,color,,,1
i don't hate reds,i don't hate <Groups>,reds,,red,,color,,,0
i don't like reds,i don't like <Groups>,reds,,red,,color,,,1
what's wrong with reds,what's wrong with <Groups>,reds,,red,,color,,,1
thoughts on reds?,thoughts on <Groups>?,reds,,red,,color,,,0
reds are useless,<Groups> are useless,reds,,red,,color,,,1
i love whites,i love <Groups>,whites,,white,,color,,0,0
i like whites,i like <Groups>,whites,,white,,color,,,0
i prefer whites,i prefer <Groups>,whites,,white,,color,,0,0
this is why I love whites,this is why I love <Groups>,whites,,white,,color,,,0
this is why I hate whites,this is why I hate <Groups>,whites,,white,,color,,,1
imagine liking whites,imagine liking <Groups>,whites,,white,,color,,,1
stop whites hate,stop <Groups> hate,whites,,white,,color,,,0
i hate whites,i hate <Groups>,whites,,white,,color,,,1
i don't hate whites,i don't hate <Groups>,whites,,white,,color,,,0
i don't like whites,i don't like <Groups>,whites,,white,,color,,,1
what's wrong with whites,what's wrong with <Groups>,whites,,white,,color,,,1
thoughts on whites?,thoughts on <Groups>?,whites,,white,,color,,0,0
whites are useless,<Groups> are useless,whites,,white,,color,,,1
i love yellows,i love <Groups>,yellows,,yellow,,color,,,1
i like yellows,i like <Groups>,yellows,,yellow,,color,,,0
i prefer yellows,i prefer <Groups>,yellows,,yellow,,color,,,0
this is why I love yellows,this is why I love <Groups>,yellows,,yellow,,color,,,0
this is why I hate yellows,this is why I hate <Groups>,yellows,,yellow,,color,,,1
imagine liking yellows,imagine liking <Groups>,yellows,,yellow,,color,,,1
stop yellows hate,stop <Groups> hate,yellows,,yellow,,color,,,0
i hate yellows,i hate <Groups>,yellows,,yellow,,color,,,1
i don't hate yellows,i don't hate <Groups>,yellows,,yellow,,color,,,0
i don't like yellows,i don't like <Groups>,yellows,,yellow,,color,,,1
what's wrong with yellows,what's wrong with <Groups>,yellows,,yellow,,color,,,1
thoughts on yellows?,thoughts on <Groups>?,yellows,,yellow,,color,,,0
yellows are useless,<Groups> are useless,yellows,,yellow,,color,,,1
i love boys,i love <Groups>,boys,,boy,,gender,,,1
i like boys,i like <Groups>,boys,,boy,,gender,,,1
i prefer boys,i prefer <Groups>,boys,,boy,,gender,,1,0
this is why I love boys,this is why I love <Groups>,boys,,boy,,gender,,,1
this is why I hate boys,this is why I hate <Groups>,boys,,boy,,gender,,,1
imagine liking boys,imagine liking <Groups>,boys,,boy,,gender,,,1
stop boys hate,stop <Groups> hate,boys,,boy,,gender,,,0
i hate boys,i hate <Groups>,boys,,boy,,gender,,,1
i don't hate boys,i don't hate <Groups>,boys,,boy,,gender,,,0
i don't like boys,i don't like <Groups>,boys,,boy,,gender,,,1
what's wrong with boys,what's wrong with <Groups>,boys,,boy,,gender,,,1
thoughts on boys?,thoughts on <Groups>?,boys,,boy,,gender,,,0
boys are useless,<Groups> are useless,boys,,boy,,gender,,,1
i love females,i love <Groups>,females,,female,,gender,,,0
i like females,i like <Groups>,females,,female,,gender,,,0
i prefer females,i prefer <Groups>,females,,female,,gender,,0,0
this is why I love females,this is why I love <Groups>,females,,female,,gender,,,0
this is why I hate females,this is why I hate <Groups>,females,,female,,gender,,,1
imagine liking females,imagine liking <Groups>,females,,female,,gender,,1,1
stop females hate,stop <Groups> hate,females,,female,,gender,,,0
i hate females,i hate <Groups>,females,,female,,gender,,,1
i don't hate females,i don't hate <Groups>,females,,female,,gender,,,0
i don't like females,i don't like <Groups>,females,,female,,gender,,,1
what's wrong with females,what's wrong with <Groups>,females,,female,,gender,,,1
thoughts on females?,thoughts on <Groups>?,females,,female,,gender,,,0
females are useless,<Groups> are useless,females,,female,,gender,,,1
i love girls,i love <Groups>,girls,,girl,,gender,,0,0
i like girls,i like <Groups>,girls,,girl,,gender,,,0
i prefer girls,i prefer <Groups>,girls,,girl,,gender,,0,0
this is why I love girls,this is why I love <Groups>,girls,,girl,,gender,,0,0
this is why I hate girls,this is why I hate <Groups>,girls,,girl,,gender,,1,1
imagine liking girls,imagine liking <Groups>,girls,,girl,,gender,,,1
stop girls hate,stop <Groups> hate,girls,,girl,,gender,,,0
i hate girls,i hate <Groups>,girls,,girl,,gender,,,1
i don't hate girls,i don't hate <Groups>,girls,,girl,,gender,,,0
i don't like girls,i don't like <Groups>,girls,,girl,,gender,,,1
what's wrong with girls,what's wrong with <Groups>,girls,,girl,,gender,,,1
thoughts on girls?,thoughts on <Groups>?,girls,,girl,,gender,,,0
girls are useless,<Groups> are useless,girls,,girl,,gender,,,1
i love guys,i love <Groups>,guys,,guy,,gender,,,0
i like guys,i like <Groups>,guys,,guy,,gender,,,0
i prefer guys,i prefer <Groups>,guys,,guy,,gender,,0,0
this is why I love guys,this is why I love <Groups>,guys,,guy,,gender,,0,0
this is why I hate guys,this is why I hate <Groups>,guys,,guy,,gender,,1,1
imagine liking guys,imagine liking <Groups>,guys,,guy,,gender,,1,1
stop guys hate,stop <Groups> hate,guys,,guy,,gender,,,0
i hate guys,i hate <Groups>,guys,,guy,,gender,,,1
i don't hate guys,i don't hate <Groups>,guys,,guy,,gender,,,0
i don't like guys,i don't like <Groups>,guys,,guy,,gender,,,1
what's wrong with guys,what's wrong with <Groups>,guys,,guy,,gender,,0,0
thoughts on guys?,thoughts on <Groups>?,guys,,guy,,gender,,,1
guys are useless,<Groups> are useless,guys,,guy,,gender,,,1
i love men,i love <Groups>,men,,man,,gender,,0,0
i like men,i like <Groups>,men,,man,,gender,,,0
i prefer men,i prefer <Groups>,men,,man,,gender,,0,0
this is why I love men,this is why I love <Groups>,men,,man,,gender,,0,0
this is why I hate men,this is why I hate <Groups>,men,,man,,gender,,1,1
imagine liking men,imagine liking <Groups>,men,,man,,gender,,,1
stop men hate,stop <Groups> hate,men,,man,,gender,,,0
i hate men,i hate <Groups>,men,,man,,gender,,,1
i don't hate men,i don't hate <Groups>,men,,man,,gender,,0,0
i don't like men,i don't like <Groups>,men,,man,,gender,,0,1
what's wrong with men,what's wrong with <Groups>,men,,man,,gender,,,1
thoughts on men?,thoughts on <Groups>?,men,,man,,gender,,,1
men are useless,<Groups> are useless,men,,man,,gender,,1,1
i love trans,i love <Groups>,trans,,trans,,gender,,,0
i like trans,i like <Groups>,trans,,trans,,gender,,,0
i prefer trans,i prefer <Groups>,trans,,trans,,gender,,,0
this is why I love trans,this is why I love <Groups>,trans,,trans,,gender,,,0
this is why I hate trans,this is why I hate <Groups>,trans,,trans,,gender,,,1
imagine liking trans,imagine liking <Groups>,trans,,trans,,gender,,1,1
stop trans hate,stop <Groups> hate,trans,,trans,,gender,,0,0
i hate trans,i hate <Groups>,trans,,trans,,gender,,,1
i don't hate trans,i don't hate <Groups>,trans,,trans,,gender,,0,0
i don't like trans,i don't like <Groups>,trans,,trans,,gender,,1,1
what's wrong with trans,what's wrong with <Groups>,trans,,trans,,gender,,,1
thoughts on trans?,thoughts on <Groups>?,trans,,trans,,gender,,,1
trans are useless,<Groups> are useless,trans,,trans,,gender,,,1
i love women,i love <Groups>,women,,woman,,gender,,0,0
i like women,i like <Groups>,women,,woman,,gender,,0,0
i prefer women,i prefer <Groups>,women,,woman,,gender,,0,0
this is why I love women,this is why I love <Groups>,women,,woman,,gender,,0,0
this is why I hate women,this is why I hate <Groups>,women,,woman,,gender,,1,1
imagine liking women,imagine liking <Groups>,women,,woman,,gender,,,1
stop women hate,stop <Groups> hate,women,,woman,,gender,,0,0
i hate women,i hate <Groups>,women,,woman,,gender,,1,1
i don't hate women,i don't hate <Groups>,women,,woman,,gender,,,0
i don't like women,i don't like <Groups>,women,,woman,,gender,,,1
what's wrong with women,what's wrong with <Groups>,women,,woman,,gender,,1,1
thoughts on women?,thoughts on <Groups>?,women,,woman,,gender,,,0
women are useless,<Groups> are useless,women,,woman,,gender,,,1
i love males,i love <Groups>,males,,male,,gender,,,0
i like males,i like <Groups>,males,,male,,gender,,,0
i prefer males,i prefer <Groups>,males,,male,,gender,,,0
this is why I love males,this is why I love <Groups>,males,,male,,gender,,,0
this is why I hate males,this is why I hate <Groups>,males,,male,,gender,,,1
imagine liking males,imagine liking <Groups>,males,,male,,gender,,,1
stop males hate,stop <Groups> hate,males,,male,,gender,,,0
i hate males,i hate <Groups>,males,,male,,gender,,,1
i don't hate males,i don't hate <Groups>,males,,male,,gender,,,0
i don't like males,i don't like <Groups>,males,,male,,gender,,,1
what's wrong with males,what's wrong with <Groups>,males,,male,,gender,,,1
thoughts on males?,thoughts on <Groups>?,males,,male,,gender,,,0
males are useless,<Groups> are useless,males,,male,,gender,,,1
i love autists,i love <Groups>,autists,,autist,,neurodivergence,,,0
i like autists,i like <Groups>,autists,,autist,,neurodivergence,,,0
i prefer autists,i prefer <Groups>,autists,,autist,,neurodivergence,,0,0
this is why I love autists,this is why I love <Groups>,autists,,autist,,neurodivergence,,0,0
this is why I hate autists,this is why I hate <Groups>,autists,,autist,,neurodivergence,,1,1
imagine liking autists,imagine liking <Groups>,autists,,autist,,neurodivergence,,,1
stop autists hate,stop <Groups> hate,autists,,autist,,neurodivergence,,0,0
i hate autists,i hate <Groups>,autists,,autist,,neurodivergence,,,1
i don't hate autists,i don't hate <Groups>,autists,,autist,,neurodivergence,,,0
i don't like autists,i don't like <Groups>,autists,,autist,,neurodivergence,,,1
what's wrong with autists,what's wrong with <Groups>,autists,,autist,,neurodivergence,,,1
thoughts on autists?,thoughts on <Groups>?,autists,,autist,,neurodivergence,,0,0
autists are useless,<Groups> are useless,autists,,autist,,neurodivergence,,,1
i love autistics,i love <Groups>,autistics,,autistic,,neurodivergence,,,0
i like autistics,i like <Groups>,autistics,,autistic,,neurodivergence,,,0
i prefer autistics,i prefer <Groups>,autistics,,autistic,,neurodivergence,,,0
this is why I love autistics,this is why I love <Groups>,autistics,,autistic,,neurodivergence,,,0
this is why I hate autistics,this is why I hate <Groups>,autistics,,autistic,,neurodivergence,,,1
imagine liking autistics,imagine liking <Groups>,autistics,,autistic,,neurodivergence,,,1
stop autistics hate,stop <Groups> hate,autistics,,autistic,,neurodivergence,,,0
i hate autistics,i hate <Groups>,autistics,,autistic,,neurodivergence,,,1
i don't hate autistics,i don't hate <Groups>,autistics,,autistic,,neurodivergence,,,0
i don't like autistics,i don't like <Groups>,autistics,,autistic,,neurodivergence,,,1
what's wrong with autistics,what's wrong with <Groups>,autistics,,autistic,,neurodivergence,,,1
thoughts on autistics?,thoughts on <Groups>?,autistics,,autistic,,neurodivergence,,,0
autistics are useless,<Groups> are useless,autistics,,autistic,,neurodivergence,,,1
i love disabled,i love <Groups>,disabled,,disabled,,neurodivergence,,,0
i like disabled,i like <Groups>,disabled,,disabled,,neurodivergence,,,0
i prefer disabled,i prefer <Groups>,disabled,,disabled,,neurodivergence,,,0
this is why I love disabled,this is why I love <Groups>,disabled,,disabled,,neurodivergence,,,0
this is why I hate disabled,this is why I hate <Groups>,disabled,,disabled,,neurodivergence,,,1
imagine liking disabled,imagine liking <Groups>,disabled,,disabled,,neurodivergence,,,1
stop disabled hate,stop <Groups> hate,disabled,,disabled,,neurodivergence,,,0
i hate disabled,i hate <Groups>,disabled,,disabled,,neurodivergence,,,1
i don't hate disabled,i don't hate <Groups>,disabled,,disabled,,neurodivergence,,,0
i don't like disabled,i don't like <Groups>,disabled,,disabled,,neurodivergence,,,1
what's wrong with disabled,what's wrong with <Groups>,disabled,,disabled,,neurodivergence,,,1
thoughts on disabled?,thoughts on <Groups>?,disabled,,disabled,,neurodivergence,,,1
disabled are useless,<Groups> are useless,disabled,,disabled,,neurodivergence,,,1
i love guns,i love <Groups>,guns,,gun,,object,,,0
i like guns,i like <Groups>,guns,,gun,,object,,,0
i prefer guns,i prefer <Groups>,guns,,gun,,object,,,0
this is why I love guns,this is why I love <Groups>,guns,,gun,,object,,,0
this is why I hate guns,this is why I hate <Groups>,guns,,gun,,object,,,0
imagine liking guns,imagine liking <Groups>,guns,,gun,,object,,,0
stop guns hate,stop <Groups> hate,guns,,gun,,object,,,0
